Dosya,Length,Chroma Stft Mean,Chroma Stft Var,RMS Mean,RMS Var,Spectral Centroid Mean,Spectral Centroid Var,Spectral Bandwidth Mean,Spectral Bandwidth Var,Rolloff Mean,Rolloff Var,Zero Crossing Rate Mean,Zero Crossing Rate Var,Tempo,Music Genre
002 . Aşkın Olayım - Simge.mp3,25.18204081632653,0.38776582,0.08360032,0.20140547,0.005092512,1916.5880805968015,245088.37226003152,2108.7142690314427,142322.54107970747,3851.148878528226,1126114.1851581964,0.08805848574308756,0.0011721414949502622,75.99954044117646,unknown
002 . Aşkın Olayım - Simge.mp3,25.18204081632653,0.37309468,0.08726316,0.051196896,0.004038773,1858.9096863387938,209260.87522958496,2124.467828669688,161754.2550897986,3823.433562247984,1356006.367510241,0.07970550115207373,0.0005217570039743921,75.99954044117646,unknown
003 - Kibariye - Kimbilir.mp3,25.08249433106576,0.26312536,0.0968691,0.13244203,0.0022323923,1963.6235301994016,214302.78074945946,2163.188112737145,167043.16015050848,3885.8268575465427,1533104.1212677124,0.0868765718952359,0.00038466215954061566,117.45383522727273,unknown
003 - Kibariye - Kimbilir.mp3,25.08249433106576,0.23529609,0.09003638,0.15135771,0.0027492216,1840.4801611747148,174734.90371399748,2098.063250018878,111166.91371074851,3546.962764150671,1055501.016447067,0.08716294591234967,0.0008929466446963646,112.34714673913044,unknown
003 - Kibariye - Kimbilir.mp3,25.08249433106576,0.25555605,0.09426111,0.1733714,0.0017997778,1785.7657501727672,111305.46722012301,1911.0649321330027,120930.87181836071,3176.6056141954787,779520.9086436387,0.09355848172987974,0.00040946233828945686,112.34714673913044,unknown
003 - Kibariye - Kimbilir.mp3,25.08249433106576,0.26335704,0.09186442,0.17642732,0.0022890437,1866.0300052241782,123609.66669616707,2042.3073025862793,109617.81033794995,3425.0043588474214,914967.1333088365,0.09146623496762257,0.0005249969007844117,112.34714673913044,unknown
003 - Kibariye - Kimbilir.mp3,25.08249433106576,0.25447133,0.08998646,0.18146709,0.0024521735,1961.7473552362496,74620.02027170769,2079.2114761846483,80696.49320318253,3679.309296585916,626970.7030648806,0.0967709296947271,0.0005604376632937914,112.34714673913044,unknown
003 - Kibariye - Kimbilir.mp3,25.08249433106576,0.24332872,0.09152839,0.15232354,0.003107542,1863.9957250999596,105805.49977788184,2116.1556228937393,121433.39603518818,3598.634483767923,1019738.0109471454,0.08715617050185014,0.0005020985509084057,112.34714673913044,unknown
003 - Kibariye - Kimbilir.mp3,25.08249433106576,0.23458241,0.09390886,0.20006289,0.00273367,1860.541361968713,135216.75380215014,2068.5335498561262,167168.4882382482,3514.055408403677,1416918.6589956018,0.08799180446345976,0.00042792574852485083,112.34714673913044,unknown
003 - Kibariye - Kimbilir.mp3,25.08249433106576,0.2547725,0.09285187,0.18475378,0.002404804,1886.8915712223716,182460.8096845891,2057.3087858017357,160981.73023439647,3542.7198665876504,1552557.2310925436,0.093623073976642,0.00044861509347748685,112.34714673913044,unknown
003 - Kibariye - Kimbilir.mp3,25.08249433106576,0.27508903,0.09340694,0.19037351,0.0020384698,1949.82113860875,83557.66608282924,2104.5232719011246,70694.83964695256,3527.142655816374,558147.8622571584,0.09208324901711379,0.0004109308882430592,112.34714673913044,unknown
003 - Kibariye - Kimbilir.mp3,25.08249433106576,0.28812402,0.09258997,0.1295967,0.0074583576,1913.0899246246686,53912.34721664033,2084.6284788672588,74496.8916114419,3450.571302613321,368456.7584931683,0.09169840570074006,0.0002637315385332326,117.45383522727273,unknown
003 - UZI - Krvn.mp3,17.18997732426304,0.24938819,0.09453992,0.124946594,0.012133441,954.2049302119201,186849.19511648337,844.109327559048,220821.50843587675,1566.0683079769738,694582.4225249127,0.05501829242577598,0.0004610654679162715,92.28515625,unknown
003 - UZI - Krvn.mp3,17.18997732426304,0.46849576,0.087836266,0.3690263,0.014170583,1758.1476874558793,804643.2622787092,2433.6591801924146,317503.4241676872,3721.77151205086,5367194.531496977,0.04972429571524966,0.001151113186329878,117.45383522727273,unknown
003 - UZI - Krvn.mp3,17.18997732426304,0.42374864,0.094710924,0.3622484,0.015084024,1841.0592045574072,940432.226029064,2387.0427420547735,371548.44276702777,3871.3996670989372,5653773.579938986,0.056604382801956815,0.0017611092136549122,117.45383522727273,unknown
003 - UZI - Krvn.mp3,17.18997732426304,0.38113263,0.100364886,0.2931594,0.014177209,1735.518354287876,736258.628232975,2269.890424494352,314515.37547603063,3516.9009560032896,4599939.787899179,0.058089653972672066,0.0025484118618212454,112.34714673913044,unknown
003 - UZI - Krvn.mp3,17.18997732426304,0.46514785,0.0880719,0.36868504,0.014458241,1761.554947221413,807468.6300619461,2425.7182002046015,308887.5471973111,3727.438144452176,5351088.468103252,0.050637599105937924,0.0012647542120304291,117.45383522727273,unknown
003 - UZI - Krvn.mp3,17.18997732426304,0.39737907,0.1047159,0.28261632,0.015890285,1956.5285629605812,1241000.4252672708,2371.0273538951565,361450.3022757901,3948.102622090081,5722973.859971743,0.06801474464406208,0.005100366675112808,75.99954044117646,unknown
003 - UZI - Krvn.mp3,17.18997732426304,0.4877422,0.0891935,0.3247954,0.026626747,1708.4075160457912,1117973.1737312174,2229.805410911971,506549.9585204363,3556.4656740258097,5884615.114889151,0.051357830423414304,0.0018141735478069269,112.34714673913044,unknown
